seqnames	start	end	gene
1	66998751	66999750	SGIP1
1	8377644	8378643	SLC45A1
1	16766666	16767665	NECAP2
1	25071259	25072258	CLIC4
1	33546213	33547212	AZIN2
1	50489127	50490126	AGBL4
1	92371060	92372059	TGFBR3
1	100714910	100715909	DBT
1	150980366	150981365	PRUNE1
1	176175881	176176880	RFWD2
1	184355649	184356648	C1orf21
1	226496950	226497949	LIN9
1	1051237	1052236	C1orf159
1	1981408	1982407	PRKCZ
1	2985241	2986240	PRDM16
1	6295545	6296544	ICMT
1	6844883	6845882	CAMTA1
1	19922827	19923826	LOC105378614
1	20959447	20960446	PINK1
1	20978187	20979186	PINK1-AS
1	22109189	22110188	USP48
1	23036830	23037829	EPHB2
1	26232494	26233493	STMN1
1	27247712	27248711	NUDC
1	28414649	28415648	EYA3
1	29213102	29214101	EPB41
1	31538065	31539064	PUM1
1	32478794	32479793	KHDRBS1
1	34630944	34631943	CSMD2
1	35658247	35659246	SFPQ
1	36689512	36690511	THRAP3
1	39549338	39550337	MACF1
1	43991207	43992206	PTPRF
1	44870331	44871330	RNF220
1	46151803	46152802	GPBP1L1
1	48462063	48463062	TRABD2B
1	51425437	51426436	FAF1
1	52455937	52456936	RAB3B
1	53392400	53393399	SCP2
1	54518744	54519743	TCEANC2
1	55680540	55681539	USP24
1	58715712	58716711	DAB1
1	59762124	59763123	FGGY
1	61542445	61543444	NFIA
1	62901474	62902473	USP1
1	63988445	63989444	ITGB3BP
1	64935975	64936974	CACHD1
1	65885834	65886833	LEPR
1	70032367	70033366	LRRC7
1	72747778	72748777	NEGR1
1	76539888	76540887	ST6GALNAC3
1	77684633	77685632	PIGK
1	86043547	86044546	DDAH1
1	87012258	87013257	CLCA4
1	89150388	89151387	PKN2-AS1
1	90098143	90099142	LRRC8C
1	93426580	93427579	FAM69A
1	94374655	94375654	GCLM
1	95393083	95394082	LOC729970
1	96457123	96458122	LOC102723661
1	107682039	107683038	NTNG1
1	110090685	110091684	GNAI3
1	111173597	111174596	KCNA2
1	112161904	112162903	RAP1A
1	113249526	113250525	RHOC
1	114302011	114303010	PHTF1
1	118471871	118472870	WDR3
1	120611818	120612817	NOTCH2
1	144614458	144615457	NBPF9
1	145727165	145728164	PDZK1
1	148875539	148876538	LOC101927429
1	149982187	149983186	OTUD7B
1	154164112	154165111	TPM3
1	155196826	155197825	GBAP1
1	156260790	156261789	SMG5
1	161474704	161475703	FCGR2A
1	164528096	164529095	PBX1
1	165667486	165668485	LOC440700
1	170904111	170905110	MROH9
1	171810117	171811116	DNM3
1	173019604	173020603	TNFSF18
1	175036493	175037492	TNN
1	177140023	177141022	BRINP2
1	178062363	178063362	RASAL2
1	179262348	179263347	SOAT1
1	180471523	180472522	ACBD6
1	182418755	182419754	RGSL1
1	183441005	183442004	SMG7
1	186649060	186650059	PTGS2
1	197169173	197170172	ZBTB41
1	198125607	198126606	NEK7
1	202317329	202318328	PPP1R12B
1	206515696	206516695	SRGAP2
1	210501095	210502094	HHAT
1	212872828	212873827	BATF3
1	216596239	216597238	USH2A
1	217310598	217311597	ESRRG
1	220219501	220220500	EPRS
1	225116855	225117854	DNAH14
1	228594018	228595017	TRIM11
1	229643589	229644588	NUP133
1	231663898	231664897	TSNAX-DISC1
1	231747337	231748336	LINC00582
1	236046509	236047508	LYST
1	236958080	236959079	MTR
1	238024974	238025973	LOC100130331
1	241520031	241521030	RGS7
1	245317786	245318785	KIF26B
1	246670145	246671144	SMYD3
1	247494743	247495742	ZNF496
1	248511576	248512575	OR14C36
1	762470	763469	LINC01128
1	1181603	1182602	FAM132A
1	1310319	1311318	AURKAIP1
1	1590059	1591058	CDK11B
1	1711009	1712008	NADK
1	2159633	2160632	SKI
1	2487303	2488302	TNFRSF14
1	2705731	2706730	TTC34
1	3527560	3528559	MEGF6
1	3668464	3669463	CCDC27
1	3773330	3774329	DFFB
1	4714604	4715603	AJAP1
1	6052034	6053033	NPHP4
1	6051857	6052856	KCNAB2
1	6453327	6454326	ACOT7
1	6579622	6580621	PLEKHG5
1	7843988	7844987	PER3
1	8002726	8003725	TNFRSF9
1	8877200	8878199	RERE
1	9188730	9189729	GPR157
1	9294362	9295361	H6PD
1	9884085	9885084	CLSTN1
1	9969817	9970816	CTNNBIP1
1	10092540	10093539	UBE4B
1	10270263	10271262	KIF1B
1	10534502	10535501	PEX14
1	10856234	10857233	CASZ1
1	11041595	11042594	C1orf127
1	11159468	11160467	EXOSC10
1	11322109	11323108	MTOR
1	11795641	11796640	AGTRAP
1	12039737	12040736	MFN2
1	12122933	12123932	TNFRSF8
1	12289595	12290594	VPS13D
1	12704065	12705064	AADACL4
1	14924712	14925711	KAZN
1	15478461	15479460	TMEM51-AS1
1	15573267	15574266	FHAD1
1	15852807	15853806	DNAJC16
1	16173858	16174857	SPEN
1	16678487	16679486	FBXO42
1	16939601	16940600	NBPF1
1	17046153	17047152	ESPNP
1	17307582	17308581	MFAP2
1	17445449	17446448	PADI2
1	17531120	17532119	PADI1
1	17865829	17866828	ARHGEF10L
1	18081307	18082306	ACTL8
1	18433739	18434738	IGSF21
1	18956999	18957998	PAX7
1	19282327	19283326	IFFO2
1	19536247	19537246	UBR4
1	19811636	19812635	CAPZB
1	20125911	20126910	TMCO4
1	20754788	20755787	LINC01141
1	21112682	21113681	HP1BP3
1	21502882	21503881	EIF4G3
1	21671535	21672534	ECE1
1	21835350	21836349	ALPL
1	22138257	22139256	LDLRAD2
1	22263291	22264290	HSPG2
1	22378619	22379618	CDC42
1	22777843	22778842	ZBTB40
1	23494852	23495851	LUZP1
1	23750773	23751772	TCEA3
1	23857213	23858212	E2F2
1	24513266	24514265	IFNLR1
1	24739476	24740475	NIPAL3
1	24882066	24883065	NCMAP
1	25746864	25747863	RHCE
1	25756848	25757847	TMEM57
1	25943458	25944457	MAN1C1
1	26605712	26606711	SH3BGRL3
1	26736758	26737757	LIN28A
1	26855748	26856747	RPS6KA1
1	27648135	27649134	TMEM222
1	27816199	27817198	WASF2
1	27929506	27930505	AHDC1
1	28695592	28696591	PHACTR4
1	28831954	28832953	SNHG3
1	28831954	28832953	RCC1
1	28969105	28970104	TAF12
1	29508138	29509137	SRSF4
1	29562527	29563526	PTPRU
1	31195933	31196932	MATN1
1	31191118	31192117	MATN1-AS1
1	32403489	32404488	PTP4A2
1	32573143	32574142	KPNA6
1	32757207	32758206	HDAC1
1	33004245	33005244	ZBTB8A
1	33167862	33168861	SYNC
1	33282542	33283541	S100PBP
1	33429915	33430914	RNF19B
1	33840695	33841694	PHC2
1	33815452	33816451	LOC101929464
1	33937731	33938730	ZSCAN20
1	34334056	34335055	CSMD2-AS1
1	35394687	35395686	DLGAP3
1	35734067	35735066	ZMYM4
1	36022538	36023537	KIAA0319L
1	36038470	36039469	TFAP2E
1	36273327	36274326	AGO4
1	36396182	36397181	AGO3
1	36590186	36591185	COL8A2
1	36851029	36852028	STK40
1	37499345	37500344	GRIK3
1	38019446	38020445	SNIP1
1	38273366	38274365	YRDC
1	38412230	38413229	INPP5B
1	39324996	39325995	RRAGC
1	39956817	39957816	BMP8A
1	40254034	40255033	BMP8B
1	40626540	40627539	RLF
1	41157434	41158433	NFYC-AS1
1	41249183	41250182	KCNQ4
1	41707316	41708315	SCMH1
1	42383879	42384878	HIVEP3
1	42801049	42802048	FOXJ3
1	42845967	42846966	RIMKLA
1	43253160	43254159	TMEM269
1	43637500	43638499	CFAP57
1	43766065	43767064	TIE1
1	43855055	43856054	SZT2
1	44172513	44173512	KDM4A-AS1
1	44172703	44173702	ST3GAL3
1	44411977	44412976	IPO13
1	44820452	44821451	ERI3
1	44709456	44710455	ERI3-IT1
1	45204989	45205988	KIF2C
1	45451895	45452894	EIF2B3
1	45671751	45672750	ZSWIM5
1	45956341	45957340	TESK2
1	46268778	46269777	MAST2
1	46641668	46642667	PIK3R3
1	46685478	46686477	POMGNT1
1	47069467	47070466	MKNK1
1	47365648	47366647	CYP4Z2P
1	47426535	47427534	CYP4X1
1	47532659	47533658	CYP4Z1
1	47798968	47799967	CMPK1
1	48647601	48648600	SKINT1L
1	48937381	48938380	SPATA6
1	50513185	50514184	ELAVL4
1	51810289	51811288	TTC39A
1	51984496	51985495	EPS15
1	52082045	52083044	OSBPL9
1	52344110	52345109	NRDC
1	52607265	52608264	ZFYVE9
1	52831378	52832377	CC2D1B
1	53018263	53019262	ZCCHC11
1	53191630	53192629	ZYG11B
1	53307682	53308681	ZYG11A
1	53793322	53794321	LRP8
1	54199378	54200377	GLIS1
1	54303726	54304725	NDC1
1	54411482	54412481	HSPB11
1	54665247	54666246	CYB5RL
1	54871569	54872568	SSBP3
1	55013306	55014305	ACOT11
1	55106912	55107911	MROH7-TTC4
1	57044758	57045757	PLPP3
1	57110489	57111488	PRKAA2
1	57284870	57285869	C1orf168
1	57431314	57432313	C8B
1	58325714	58326713	DAB1-AS1
1	59011972	59012971	OMA1
1	59485647	59486646	LINC01358
1	60280032	60281031	HOOK1
1	61290757	61291756	LOC101926964
1	62207648	62208647	PATJ
1	62784586	62785585	KANK4
1	63153540	63154539	DOCK7
1	63249276	63250275	ATG4C
1	63782429	63783428	LINC00466
1	64058446	64059445	PGM1
1	64239189	64240188	ROR1
1	65210277	65211276	RAVER2
1	65532930	65533929	JAK1
1	65612731	65613730	AK4
1	65729876	65730875	DNAJC6
1	66257692	66258691	PDE4B
1	67217639	67218638	TCTEX1D1
1	67390071	67391070	WDR78
1	67519581	67520580	SLC35D1
1	67631668	67632667	IL23R
1	67895624	67896623	SERBP1
1	68298656	68299655	GNG12
1	68297470	68298469	GNG12-AS1
1	68697730	68698729	WLS
1	68962405	68963404	DEPDC1
1	70384504	70385503	PIN1P1
1	70670862	70671861	LRRC40
1	70819918	70820917	ANKRD13C
1	71512992	71513991	PTGER3
1	71546506	71547505	ZRANB2-AS2
1	73771352	73772351	LINC01360
1	74663372	74664371	LRRIQ3
1	74663395	74664394	FPGT-TNNI3K
1	74700570	74701569	TNNI3K
1	75138923	75139922	ERICH3
1	76081195	76082194	SLC44A5
1	76262055	76263054	MSH4
1	77332592	77333591	ST6GALNAC5
1	77747161	77748160	AK5
1	78148613	78149612	ZZZ3
1	78244808	78245807	MIGA1
1	78353699	78354698	NEXN
1	78510145	78511144	GIPC2
1	78694782	78695781	MGC27382
1	79471996	79472995	ADGRL4
1	81000939	81001938	LINC01781
1	82164954	82165953	ADGRL2
1	84326180	84327179	LINC01725
1	84325730	84326729	LOC101927560
1	84464334	84465333	TTLL7
1	84543157	84544156	PRKACB
1	84763548	84764547	SAMD13
1	85086215	85087214	LINC01461
1	85358397	85359396	LPAR3
1	85462306	85463305	MCOLN2
1	85527480	85528479	WDR63
1	85724856	85725855	C1orf52
1	86621622	86622621	COL24A1
1	86889065	86890064	CLCA2
1	87169677	87170676	LOC105378828
1	87379834	87380833	HS2ST1
1	87677851	87678850	LOC101927844
1	89149326	89150325	PKN2
1	89530544	89531543	GBP1
1	89664134	89665133	GBP4
1	89989896	89990895	LRRC8B
1	90286072	90287071	LRRC8D
1	91869927	91870926	HFM1
1	92764021	92765020	RPAP2
1	93257462	93258461	EVI5
1	93544291	93545290	MTF2
1	93645772	93646771	CCDC18
1	93913187	93914186	FNBP1L
1	94312207	94313206	BCAR3
1	94586206	94587205	ABCA4
1	94883432	94884431	ABCD3
1	95285338	95286337	LINC01057
1	95285397	95286396	SLC44A3
1	95582978	95583977	TMEM56-RWDD3
1	95699039	95700038	LOC101928118
1	95939792	95940791	LINC01761
1	96839182	96840181	LINC01787
1	97186660	97187659	PTBP2
1	98386116	98387115	DPYD
1	97560978	97561977	DPYD-AS1
1	98675766	98676765	LINC01776
1	99126735	99127734	SNX7
1	99469331	99470330	LOC100129620
1	99729347	99730346	PLPPR4
1	100110930	100111929	PALMD
1	100503288	100504287	MFSD14A
1	100817522	100818521	CDC14A
1	101184695	101185694	VCAM1
1	102462291	102463290	OLFM3
1	103573553	103574552	COL11A1
1	104068077	104069076	RNPC3
1	104197640	104198639	AMY1A
1	108507046	108508045	VAV3
1	108506564	108507563	VAV3-AS1
1	109288756	109289755	STXBP3
1	109419102	109420101	GPSM2
1	109584351	109585350	WDR47
1	109656084	109657083	KIAA1324
1	109849164	109850163	MYBPHL
1	110229917	110230916	GSTM1
1	110752835	110753834	KCNC4
1	110881444	110882443	RBM15
1	111682339	111683338	DRAM2
1	112106126	112107125	TMIGD3
1	112531278	112532277	KCND3
1	112938299	112939298	CTTNBP2NL
1	113161541	113162540	ST7L
1	113392766	113393765	LINC01356
1	113615291	113616290	LRIG2
1	113932974	113933973	MAGI3
1	114354733	114355732	AP4B1-AS1
1	114429670	114430669	BCL2L15
1	114695973	114696972	SYT6
1	115053282	115054281	TRIM33
1	115212233	115213232	DENND2C
1	115396923	115397922	SYCP1
1	115631622	115632621	TSPAN2
1	115880358	115881357	NGF
1	116310927	116311926	CASQ2
1	116518618	116519617	SLC22A15
1	116915294	116916293	ATP1A1
1	117209878	117210877	IGSF3
1	117296551	117297550	CD2
1	117543871	117544870	CD101
1	117601613	117602612	LOC101929099
1	117753083	117754082	VTCN1
1	117909584	117910583	MAN1A2
1	118727349	118728348	SPAG17
1	119682796	119683795	WARS2
1	119682518	119683517	LOC101929147
1	119910898	119911897	HAO2
1	120838504	120839503	FAM72B
1	121139266	121140265	SRGAP2-AS1
1	121106653	121107652	SRGAP2C
1	145039496	145040495	PDE4DIP
1	145208612	145209611	NOTCH2NL
1	145292870	145293869	NBPF10
1	145476566	145477565	LIX1L
1	145610489	145611488	RNF115
1	146373356	146374355	NBPF12
1	146696731	146697730	FMO5
1	146989200	146990199	LINC00624
1	147012770	147013769	BCL9
1	147400005	147401004	GPR89B
1	147623970	147624969	NBPF11
1	147718843	147719842	LOC101927468
1	149287853	149288852	LOC388692
1	149552502	149553501	PPIAL4C
1	150038849	150039848	VPS45
1	150336086	150337085	RPRD2
1	150459339	150460338	TARS2
1	150601599	150602598	ENSA
1	150737934	150738933	CTSS
1	151253530	151254529	ZNF687
1	151431442	151432441	POGZ
1	151512280	151513279	TUFT1
1	151584161	151585160	SNX27
